id_recepta,kategorija
1,Appetizer
1,Lunch
1,School Lunch
1,Snack
2,Breakfast
2,Brunch
2,Dinner
2,Lunch
3,Dinner
3,Lunch
3,Side Dish
8,Dinner
10,Dinner
10,Lunch
11,Breakfast
11,Brunch
11,Dessert
11,Snack
12,Dinner
13,Appetizer
14,Appetizer
14,Lunch
15,Dinner
